,overall,quality,repeatability
count,2652.0,2652.0,2652.0
mean,3.0475113122171944,3.2092760180995477,1.4947209653092006
std,0.762179758096274,0.7967426636666768,0.5982894305802061
min,1.0,1.0,1.0
25%,3.0,3.0,1.0
50%,3.0,3.0,1.0
75%,3.0,4.0,2.0
max,5.0,5.0,3.0
